gene_id,uniprot_id,NCBI_gene_symbol,previous_NCBI_gene_symbol
54187,Q9NR45,NANS,
79039,Q8TDD1,DDX54,
51530,Q86WB0,ZC3HC1,
5214,Q01813,PFKP,
7114,P62328,TMSB4X,
55425,Q8IXQ4,KIAA1704,
983,P06493,CDC2,
29028,Q6PL18,ATAD2,
23215,Q9Y520,PRRC2,BAT2D1
84126,Q8WXE1,ATRIP,
2355,P15408,FOSL2,
55421,Q53F19,C17orf85,
51474,Q9UHB6,LIMA1,
10746,Q9Y2U5,MAP3K2,
2194,P49327,FASN,
51155,Q9UK76,HN1,
64855,Q96TA1,FAM129B,
6197,P51812,RPS6KA3,
10432,Q96PK6,RBM14,
84991,Q96I25,RBM17,
6136,P30050,RPL12,
9775,P38919,EIF4A3,
22974,Q96RR5,TPX2,
5514,Q96QC0,PPP1R10,
51773,Q96T23,RSF1,
9730,Q9Y4B6,DCAF1,VPRBP
80232,Q9H7D7,WDR26,
54940,Q9NX40,OCIAD1,
143684,Q5HYJ3,FAM76B,
673,P15056,BRAF,
1859,Q13627,DYRK1A,
222229,Q9UFC0,LRWD1,
23476,O60885,BRD4,
79882,Q6PJT7,ZC3H14,
24137,O95239,KIF4A,
6885,O43318,MAP3K7,
8408,O75385,ULK1,
5062,Q13177,PAK2,
7112,P42167,TMPO,
7916,P48634,BAT2,
5930,Q7Z6E9,RBBP6,
91833,E7EUY8,WDR20,
9967,Q9Y2W1,THRAP3,
8021,P35658,NUP214,
23131,Q9UKJ3,GPATCH8,
63893,Q9C0C9,UBE2O,
4134,E7EVA0,MAP4,
23185,Q92615,LARP5,
9612,Q9Y618,NCOR2,
254225,Q8NCN4,RNF169,
23524,Q9UQ35,SRRM2,
57532,Q7Z417,NUFIP2,
6195,Q15418,RPS6KA1,
23313,Q6ICG6,C22orf9,
51322,Q9BTA9,WAC,
151195,Q8N7R7,CCNYL1,
5170,O15530,PDPK1,
22794,O15234,CASC3,
283337,Q8NDX6,ZNF740,
5977,Q92785,DPF2,
54386,Q9NYB0,TERF2IP,
283489,Q96JM3,CHAMP1,C13orf8
3727,P17535,JUND,
11276,Q9UMZ2,SYNRG,AP1GBP1
30011,Q96B97,SH3KBP1,